,0
0,-0.974403678185491
1,0.9162892497259801
2,0.4085479216206299
3,0.18216016864812556
4,0.08122015872773412
5,0.40726554867557235
6,0.28053696578413256
7,0.19324244200694862
8,0.13311130420346495
9,0.09169113742678882
10,-0.6547026583856291
11,0.25830685178223484
12,0.07847550269744202
13,0.023841429219261277
14,0.007243199822606057
15,-0.21045848149644092
16,-0.031683450147886566
17,-0.0016087964412301117
18,-8.169015613098551e-05
19,-4.147996252114678e-06
20,0.007376303551102385
21,-0.01019105637383027
22,0.0005073710606139674
23,-2.5259932209767072e-05
24,1.257588823595394e-06
25,-0.07412360856524321
26,-5.86234157623929e-17
27,0.1298909387999735
28,-1.342032635032485e-16
29,1.6476218154976314
30,-4.1265772239614925e-19
31,-0.17513451147767034
32,-0.6852632645201678
33,-0.08067021302985194
34,2.976355070215407e-17
35,-1.3404504707318978
36,1.1532226184901102e-17
37,2.12010745837157e-17
38,3.8806026400071445e-19
39,-9.650702046822392e-18
40,9.177470957944108e-14
41,0.9009100048624383
42,-0.7578553438203305
43,-0.011119514099435837
44,1.234214881215427
45,0.1647768422022772
46,-2.1004514955208333e-17
47,-5.927285764409675e-18
48,4.1702871542003525e-17
49,1.6682877768319946e-20
50,0.10534431570970604
51,0.12969674901438977
52,0.07517911379250891
53,0.007517911379250917
54,0.0007517911379250822
55,7.517911379250822e-05
56,0.11586663750158695
57,0.06385968887284484
58,0.006385968887284535
59,0.0006385968887284332
60,6.385968887284334e-05
61,0.07801664861868535
62,0.045665715788932096
63,0.004566571578893274
64,0.0004566571578893335
65,4.566571578893336e-05
