,0
0,4634.531923527729
1,592.5086826039251
2,0.383375775146545
3,6.59189343535939
4,10.446550517776629
5,6.337243621414645
6,2.357621565612326
7,11.729267730987878
8,3.6096768209535535
9,0.5384524342573817
10,7.534966315413487
11,6.102528175925047
12,4.465306225463465
13,0.9644614230348488
14,1.2620813974779694
15,1.1035563002850188
16,0.3094774152200709
17,0.23531721991849436
18,0.28557803144158395
19,116.23247455979111
20,2.6028167476216226
21,0.8670015995510152
22,1.3639104051661672
23,26.258339944990176
24,3.908001110911702
25,24.688238339720407
26,19.19642663399512
27,8.569750450270083
28,18.43144186567631
