,0
0,-1.3236946366870184
1,0.4851840100803854
2,0.21633007151528047
3,0.09645556916448254
4,0.04300685872138285
5,0.42892641503711393
6,0.29545763301239086
7,0.2035202539291789
8,0.1401909753932795
9,0.09656783146781123
10,-0.010038501248909574
11,0.3590620917848888
12,0.10908567836276546
13,0.033141023505743036
14,0.010068484291363257
15,-0.30292715725797076
16,-0.036315524429939565
17,-0.0018440001386124364
18,-9.363313801953313e-05
19,-4.754427264846927e-06
20,-0.07471220616134569
21,-6.524024460443118e-17
22,0.18953842101192175
23,1.2811987965846363e-16
24,1.6352485706876274
25,-1.4914416445673657e-18
26,-0.15698426293180362
27,-0.6281964553551432
28,-0.01962425600071696
29,2.1769145364418813e-17
30,-1.3548496620478598
31,8.68276759127416e-17
32,5.749002529352681e-18
33,6.150429525652517e-17
34,9.455394597309164e-18
35,1.8734230040818415e-13
36,0.9107808247278486
37,-0.6851794917244461
38,0.036105971862268896
39,1.1585921763734384
40,0.12349621290725832
41,-6.271812368454013e-11
42,1.3176926616949937e-17
43,2.0334562309283697e-17
44,1.2878530687801348e-19
45,0.1054587511784019
46,0.10257876174171024
47,0.05960488609542095
48,0.005960488609542061
49,0.0005960488609541956
50,5.960488609541954e-05
51,0.11660379452435866
52,0.06377802049790796
53,0.006377802049790866
54,0.0006377802049790657
55,6.377802049790657e-05
56,0.06142375622373669
57,0.03609346347816332
58,0.003609346347816358
59,0.0003609346347816097
60,3.609346347816097e-05
