,0
0,-1.1118724970202092
1,1.3449857116688542
2,0.13901983938405224
3,0.014369309335180042
4,0.0014852344218272344
5,0.34846091689704045
6,0.184834772661355
7,0.09804225245399961
8,0.052004734433095744
9,0.02758496807002397
10,0.18840347762841045
11,0.5831365559981809
12,-0.06487831049174335
13,0.0072181980857939825
14,-0.0008030786130349423
15,0.30256109473833837
16,-0.04351115742563693
17,0.006953338861094583
18,-0.001111184445044395
19,0.00017757380958623758
20,0.7214502379408867
21,0.04945608078457903
22,0.005984029342046324
23,0.000724048622503808
24,8.760759310888548e-05
25,0.31761270015032383
26,-0.11280501320534726
27,-0.577045554558037
28,0.9128156173999773
29,-0.8551374925182118
30,0.09981312259912778
31,0.36204690069538015
32,-0.6149601513273547
33,0.18221889060872143
34,-0.1230309861453113
35,-0.134092440777183
36,0.9136131254611795
37,0.4280331886442208
38,-2.576128557541444
39,3.818235402485182
40,0.3068305768439486
41,0.32395849475906746
42,0.16071237095868726
43,0.0460251375308885
44,-2.0479312765107593
45,0.13689929867673914
46,-1.042415906970967
47,0.3451708581777771
48,-0.27247396245039796
49,0.27384093820716365
50,0.17407083585738986
51,0.1568875915845668
52,0.08348423594159252
53,0.008348423594159268
54,0.0008348423594159183
55,8.34842359415918e-05
56,0.1951467281883974
57,0.12779791591283526
58,0.012779791591283502
59,0.0012779791591283338
60,0.0001277979159128334
61,0.1776728910275088
62,0.09142720515846789
63,0.009142720515846726
64,0.0009142720515846666
65,9.142720515846668e-05
